Slice,Count,Total Area,Average Size,%Area,Mean,Image
c:1/2 - NEDD1ab_NEDD1141_I_001_SIR_PRJ.dv,3,0.334,0.111,0.327,0,1885052
c:1/2 - NEDD1ab_NEDD1141_I_002_SIR_PRJ.dv,7,0.325,0.046,0.317,0,1885053
c:1/2 - NEDD1ab_NEDD1141_I_003_SIR_PRJ.dv,12,0.571,0.048,0.558,0,1885054
c:1/2 - NEDD1ab_NEDD1141_I_004_SIR_PRJ.dv,10,0.585,0.059,0.572,0,1885055
c:1/2 - NEDD1ab_NEDD1141_I_005_SIR_PRJ.dv,21,0.616,0.029,0.603,0,1885056
c:1/2 - NEDD1ab_NEDD1141_I_006_SIR_PRJ.dv,6,0.351,0.059,0.343,0,1885057
c:1/2 - NEDD1ab_NEDD1141_I_008_SIR_PRJ.dv,19,0.534,0.028,0.522,0,1885058
c:1/2 - NEDD1ab_NEDD1141_I_010_SIR_PRJ.dv,15,0.526,0.035,0.514,0,1885059
c:1/2 - NEDD1ab_NEDD1141_I_011_SIR_PRJ.dv,19,0.629,0.033,0.615,0,1885060
c:1/2 z:1/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.980,101.980,99.733,255,1885061
c:1/2 z:2/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.920,101.920,99.675,255,1885061
c:1/2 z:3/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.697,101.697,99.457,255,1885061
c:1/2 z:4/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.486,101.486,99.251,255,1885061
c:1/2 z:5/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.599,101.599,99.361,255,1885061
c:1/2 z:6/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.114,101.114,98.886,255,1885061
c:1/2 z:7/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.596,101.596,99.358,255,1885061
c:1/2 z:8/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.845,101.845,99.602,255,1885061
c:1/2 z:9/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,100.825,100.825,98.604,255,1885061
c:1/2 z:10/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.185,101.185,98.956,255,1885061
c:1/2 z:11/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.100,101.100,98.872,255,1885061
c:1/2 z:12/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.491,101.491,99.255,255,1885061
c:1/2 z:13/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.788,101.788,99.545,255,1885061
c:1/2 z:14/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.700,101.700,99.460,255,1885061
c:1/2 z:15/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.265,101.265,99.034,255,1885061
c:1/2 z:16/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.975,101.975,99.728,255,1885061
c:1/2 z:17/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.689,101.689,99.449,255,1885061
c:1/2 z:18/18 - NEDD1ab_NEDD1141_I_012_SIR.dv,1,101.939,101.939,99.693,255,1885061
c:1/2 - NEDD1ab_NEDD1141_I_013_SIR_PRJ.dv,7,0.459,0.066,0.449,0,1885062
c:1/2 - NEDD1ab_NEDD1141_I_015_SIR_PRJ.dv,11,0.392,0.036,0.383,0,1885063
c:1/2 - NEDD1ab_NEDD1141_I_016_SIR_PRJ.dv,21,0.699,0.033,0.684,0,1885064
c:1/2 - NEDD1ab_NEDD1141_I_019_SIR_PRJ.dv,19,0.676,0.036,0.661,0,1885065
c:1/2 - NEDD1ab_NEDD1141_I_022_SIR_PRJ.dv,25,0.871,0.035,0.213,0,1885066
c:1/2 - NEDD1ab_NEDD1141_I_024_SIR_PRJ.dv,21,0.780,0.037,0.763,0,1885067
c:1/2 - NEDD1ab_NEDD1141_I_025_SIR_PRJ.dv,7,0.398,0.057,0.389,0,1885068
c:1/2 - NEDD1ab_NEDD1141_I_033_SIR_PRJ.dv,32,1.159,0.036,1.134,0,1885069
c:1/2 - NEDD1ab_NEDD1141_I_034_SIR_PRJ.dv,31,1.003,0.032,0.981,0,1885070
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1101_0_SIR_PRJ_615_525_x,4,56252375.375,14063093.844,0.690,0,1885071
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1104_0_SIR_PRJ_615_525_x,4,51523195.500,12880798.875,0.632,0,1885072
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1109_0_SIR_PRJ_615_525_x,3,47665179.000,15888393.000,0.584,0,1885073
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1112_0_SIR_PRJ_615_525_x,5,56127923.750,11225584.750,0.688,0,1885074
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1116_0_SIR_PRJ_615_525_x,8,77160339.750,9645042.469,0.946,0,1885075
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1118_0_SIR_PRJ_615_525_x,15,79649381.625,5309958.775,0.977,0,1885076
